Pattern Name,OM,Burst Length,FSN,Start Address,Data,R/W,
PLL_RW_CP_FEQ_290,1,0,0,0x9101,0xEA,w,
,1,0,0,0x9102,0x38,w,
,1,0,0,0x9103,0x22,w,
,1,0,0,0x9104,0x1,w,Wait 20000
,1,0,0,0x9101,0xEB,w,
,1,0,0,0x9102,0x39,w,Wait 20000
,1,0,0,0x9200,0xE0,R/W,
