Pattern Name,MODE,Address,Data,OM,Burst Length,FSN,R/W,ChipID,Opcode
Pattern_FRM_CONFIG,BML_LS,0x355,0x55,1,0,0,r/w,1,Wait 20
,BML_LS,0x355,0x55,1,0,0,r/w,1,
